图片ID,种族,职业,提示词
1511,永恒精灵,游侠,"elf girl, pointy ears, ethereal beauty, green hair, long hair, drill hair, swept bangs, silk bow, golden eyes, petite build, small breasts, green-brown color scheme, night ranger outfit, moonlight camouflage, silver bow, star arrows, nocturnal tracking tools, shadow步 accessories, lunar beast companion, night vision gear, twilight hunter ornaments, silent moonlight arrows, darkness navigation tools, celestial tracking runes, alert, aiming, ancient ruins, dappled light, natural, green-brown color scheme, head_tilt, wide_shot, from_below, elegant composition,"
1512,永恒精灵,祭司,"elf girl, pointy ears, ethereal beauty, green hair, long hair, wavy hair, centre parting bangs, flower accessory, rainbow eyes, petite build, small breasts, white-gold color scheme, seductive lunar priestess attire, revealing silver robes, crescent scepter, crescent jewelry, starlight crystals, celestial ornaments, ethereal fabrics, divine symbols, ritual tools, lunar accessories, alluring mystical ornaments, moon phase charts, mysterious, meditating, shrine, starlight, magical, white-gold color scheme, looking_at_viewer, panorama, cinematic_angle, elegant composition,"
1513,永恒精灵,元素使,"elf girl, pointy ears, ethereal beauty, green hair, long hair, bob cut, swept bangs, streaked hair, purple eyes, petite build, small breasts, prismatic energy scheme, seductive ice mage attire, frost patterns, azure-white fabrics, ice orb, frozen crystals, snowflake ornaments, icy cape, glacier jewelry, frost crown, blizzard effects, diamond pendant, winter accessories, freezing aura, powerful, meditating, ancient ruins, aurora, powerful, prismatic energy scheme, stare, cowboy_shot, from_side, aerial,"
1514,永恒精灵,精灵侍女,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, high ponytail, swept bangs, delicate hair ornament, brown eyes, petite build, small breasts, silver-white color scheme, revealing elven servant dress, elegant apron, delicate fabric, silver trim, service accessories, graceful ornaments, leaf patterns, silk ribbons, refined jewelry, serving tray, alluring domestic ornaments, elven embroidery, serene, graceful pose, moonlit grove, moonlight, elegant, silver-white color scheme, stare, portrait, dutch angle, turn_one's_back,"
1515,永恒精灵,德鲁伊,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, side ponytail, blunt bangs, braid detail, blue eyes, athletic build, (medium breasts:1.2), green-brown color scheme, lunar druid attire, moonlit robes, celestial staff, star-blessed ornaments, night blooming flowers, silvery vines, lunar crystals, moon phase jewelry, twilight accessories, nocturnal beast companions, ethereal natural ornaments, astral leaf crown, mysterious, communing with nature, lunar temple, starlight, mystical, green-brown color scheme, head_tilt, portrait, from_below, symmetric composition,"
1516,永恒精灵,游侠,"elf girl, pointy ears, ethereal beauty, green hair, long hair, drill hair, centre parting bangs, jeweled hairpin, golden eyes, athletic build, (medium breasts:1.2), dark-green color scheme, beast master ranger attire, animal companion gear, creature communication totem, taming tools, beast bond accessories, wildlife alliance symbols, alpha pack leader ornaments, nature harmony jewelry, creature召唤 implements, beast training gear, animal friendship tokens, wild bond runes, alert, combat stance, village, dappled light, epic, dark-green color scheme, sideways_glance, wide_shot, cinematic_angle, rule of thirds,"
1517,永恒精灵,祭司,"elf girl, pointy ears, ethereal beauty, green hair, long hair, twintails, crossed bangs, jeweled hairpin, red eyes, athletic build, (medium breasts:1.2), violet color scheme, seductive lunar priestess attire, revealing silver robes, crescent scepter, crescent jewelry, starlight crystals, celestial ornaments, ethereal fabrics, divine symbols, ritual tools, lunar accessories, alluring mystical ornaments, moon phase charts, mysterious, ritual, shrine, starlight, peaceful, violet color scheme, looking_afar, wide_shot, from_below, aerial,"
1518,永恒精灵,元素使,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, drill hair, braid detail, rainbow eyes, athletic build, (medium breasts:1.2), elemental multi-color scheme, revealing fire mage robes, flame patterns, crimson-orange fabrics, fire orb, flame crystals, burning runes, ash cloak, ember jewelry, phoenix feather, heat wave effects, lava stone pendant, inferno accessories, blazing aura, focused, meditating, elemental tower, elemental glow, powerful, elemental multi-color scheme, looking_outside, cowboy_shot, dutch angle, turn_one's_back,"
1519,永恒精灵,精灵侍女,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, braided bangs, swept bangs, feather accent, golden eyes, athletic build, (medium breasts:1.2), elven grace scheme, seductive woodland attendant attire, nature-inspired robes, green and silver colors, service tools, elegant gloves, leaf accessories, natural jewelry, refined apron, graceful ornaments, forest motifs, alluring servant accessories, flower crown, gentle, graceful pose, elven manor, moonlight, elegant, elven grace scheme, eyeball, full_shot, cinematic_angle, rule of thirds,"
1520,永恒精灵,德鲁伊,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, drill hair, asymmetric bangs, flower accessory, rainbow eyes, curvy build, huge breasts, natural earth scheme, alluring forest priestess set, slit leaf-embroidered mantle, braided cords, carved staff, seed pouch, bark wristbands, moss trim, antler pin, woven belt chain, exposed herbal kit, sensual natural trinkets, flower garland, mysterious, casting, lunar temple, magical light, mystical, natural earth scheme, looking_away, upper_body, front view, symmetric composition,"
1521,永恒精灵,游侠,"elf girl, pointy ears, ethereal beauty, green hair, long hair, hime cut, blunt bangs, ahoge, golden eyes, curvy build, huge breasts, dark-green color scheme, revealing ranger outfit, cropped forest cloak, leather armor, bow, quiver, hunter tools, thigh strap, bracers, hood, chain utility pouches, trail accessories, hunting knife, focused, combat stance, silver forest, moonlight, natural, dark-green color scheme, gradient, portrait, dynamic_angle, elegant composition,"
1522,永恒精灵,祭司,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, side ponytail, centre parting bangs, silk bow, blue eyes, curvy build, huge breasts, white-gold color scheme, life priestess attire, vitality robes, healing scepter, life force crystals, renewal accessories, rebirth ornaments, eternal spring jewelry, regeneration tools, nature's blessing implements, life cycle gems, creation symbols, vitality blessing artifacts, calm, ritual, moonlit grove, moonlight, mystical, white-gold color scheme, looking_up, wide_shot, cinematic_angle, turn_one's_back,"
1523,永恒精灵,元素使,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, straight hair, swept bangs, tiara, golden eyes, curvy build, huge breasts, elemental multi-color scheme, alluring nature mage set, leaf patterns, forest-green fabrics, nature orb, life crystals, vine ornaments, moss cape, wooden jewelry, flower crown, growth effects, peridot pendant, druidic accessories, vitality aura, powerful, casting, magical nexus, aurora, powerful, elemental multi-color scheme, stare, upper_body, foreshortening, turn_one's_back,"
1524,永恒精灵,精灵侍女,"elf girl, pointy ears, ethereal beauty, (green hair:1.2), green to emerald gradient hair, long hair, forehead, blunt bangs, ribbon, golden eyes, curvy build, huge breasts, elven grace scheme, revealing elven servant dress, elegant apron, delicate fabric, silver trim, service accessories, graceful ornaments, leaf patterns, silk ribbons, refined jewelry, serving tray, alluring domestic ornaments, elven embroidery, serene, standing, palace garden, moonlight, elegant, elven grace scheme, stare, cowboy_shot, from_above, turn_one's_back,"
1525,永恒精灵,德鲁伊,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, hair bun, blunt bangs, streaked hair, rainbow eyes, petite build, small breasts, silver-green color scheme, sheer druidic robes, revealing nature garb, cropped ranger cloak, oak staff, vine adornments, glowing leaves, waist satchel, wooden talisman, bead necklace, exposed nature charms, feather accents, herbal pouches, calm, meditating, ancient ruins, moonlight, magical, silver-green color scheme, looking_away, profile, from_above, elegant composition,"
1526,永恒精灵,游侠,"elf girl, pointy ears, ethereal beauty, (pink hair:1.2), pink to rose gradient hair, long hair, braided bangs, blunt bangs, braid detail, heart-shaped eyes, petite build, small breasts, silver-green color scheme, beast master ranger attire, animal companion gear, creature communication totem, taming tools, beast bond accessories, wildlife alliance symbols, alpha pack leader ornaments, nature harmony jewelry, creature召唤 implements, beast training gear, animal friendship tokens, wild bond runes, alert, combat stance, dark forest, moonlight, natural, silver-green color scheme, looking_afar, upper_body, cinematic_angle, aerial,"
1527,永恒精灵,祭司,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, straight hair, crossed bangs, ahoge, blue eyes, petite build, small breasts, ethereal light scheme, life priestess attire, vitality robes, healing scepter, life force crystals, renewal accessories, rebirth ornaments, eternal spring jewelry, regeneration tools, nature's blessing implements, life cycle gems, creation symbols, vitality blessing artifacts, calm, casting, silver forest, divine light, peaceful, ethereal light scheme, head_tilt, cowboy_shot, foreshortening, turn_one's_back,"
1528,永恒精灵,元素使,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, twintails, long bangs, flower accessory, blue eyes, petite build, small breasts, prismatic energy scheme, revealing wind mage robes, swirl patterns, cyan-white fabrics, wind orb, air crystals, feather ornaments, flowing cape, silver jewelry, wing accessories, tornado effects, sapphire pendant, storm accessories, swift aura, mysterious, meditating, magical nexus, aurora, elemental, prismatic energy scheme, stare, upper_body, from_side, aerial,"
1529,永恒精灵,精灵侍女,"elf girl, pointy ears, ethereal beauty, (pink hair:1.2), pink to rose gradient hair, long hair, hime cut, air bangs, flower accessory, blue eyes, petite build, small breasts, silver-white color scheme, alluring lunar servant outfit, revealing silver dress, moon patterns, ethereal fabrics, service implements, elegant accessories, celestial jewelry, silk gloves, refined ornaments, moonlight motifs, seductive attendant accessories, star pins, gentle, graceful pose, palace garden, soft light, peaceful, silver-white color scheme, looking_outside, panorama, dynamic_angle, aerial,"
1530,永恒精灵,德鲁伊,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, high ponytail, long bangs, delicate hair ornament, brown eyes, athletic build, (medium breasts:1.2), natural earth scheme, totem guardian outfit, tribal druid robes, spirit animal totems, ancestral staff, shamanic accessories, beast spirit ornaments, primal power symbols, wilderness tribe jewelry, nature spirit bonds, animal communion tools, sacred ritual items, wilderness wisdom gems, calm, casting, ancient ruins, moonlight, peaceful, natural earth scheme, looking_away, profile, dutch angle, turn_one's_back,"
1531,永恒精灵,游侠,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, ponytail, air bangs, tiara, red eyes, athletic build, (medium breasts:1.2), green-brown color scheme, night ranger outfit, moonlight camouflage, silver bow, star arrows, nocturnal tracking tools, shadow步 accessories, lunar beast companion, night vision gear, twilight hunter ornaments, silent moonlight arrows, darkness navigation tools, celestial tracking runes, focused, sneaking, starlit plains, sunlight, natural, green-brown color scheme, looking_back, profile, from_side, rule of thirds,"
1532,永恒精灵,祭司,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, hair wings, swept bangs, flower accessory, golden eyes, athletic build, (medium breasts:1.2), silver-blue color scheme, stellar priestess outfit, cosmic robes, constellation scepter, star map jewelry, meteor dust accessories, galaxy ornaments, celestial ritual tools, astral prophecy scrolls, space divination implements, stellar blessing gems, cosmos connection symbols, universe wisdom artifacts, serene, praying, cathedral, divine light, divine, silver-blue color scheme, looking_ahead, upper_body, dynamic_angle, symmetric composition,"
1533,永恒精灵,元素使,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, high ponytail, long bangs, feather accent, green eyes, athletic build, (medium breasts:1.2), prismatic energy scheme, alluring earth mage set, stone patterns, brown-green fabrics, earth orb, crystal geodes, mountain runes, rocky accessories, jade jewelry, stone crown, tremor effects, emerald pendant, nature accessories, grounding aura, mysterious, channeling, elemental plane, magical light, powerful, prismatic energy scheme, facing_away, cowboy_shot, cinematic_angle, turn_one's_back,"
1534,永恒精灵,精灵侍女,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, braided ponytail, long bangs, silk bow, pink eyes, athletic build, (medium breasts:1.2), silver-white color scheme, revealing elven servant dress, elegant apron, delicate fabric, silver trim, service accessories, graceful ornaments, leaf patterns, silk ribbons, refined jewelry, serving tray, alluring domestic ornaments, elven embroidery, serene, serving pose, palace garden, soft light, peaceful, silver-white color scheme, looking_down, medium_shot, from_above, aerial,"
1535,永恒精灵,德鲁伊,"elf girl, pointy ears, ethereal beauty, (pink hair:1.2), pink to rose gradient hair, long hair, drill hair, swept bangs, delicate hair ornament, golden eyes, curvy build, huge breasts, silver-green color scheme, totem guardian outfit, tribal druid robes, spirit animal totems, ancestral staff, shamanic accessories, beast spirit ornaments, primal power symbols, wilderness tribe jewelry, nature spirit bonds, animal communion tools, sacred ritual items, wilderness wisdom gems, gentle, communing with nature, lunar temple, magical light, magical, silver-green color scheme, head_down, profile, front view, symmetric composition,"
1536,永恒精灵,游侠,"elf girl, pointy ears, ethereal beauty, (pink hair:1.2), pink to rose gradient hair, long hair, high ponytail, air bangs, tiara, golden eyes, curvy build, huge breasts, dark-green color scheme, beast master ranger attire, animal companion gear, creature communication totem, taming tools, beast bond accessories, wildlife alliance symbols, alpha pack leader ornaments, nature harmony jewelry, creature召唤 implements, beast training gear, animal friendship tokens, wild bond runes, cold, sneaking, village, dappled light, natural, dark-green color scheme, looking_to_the_side, medium_shot, dynamic_angle, rule of thirds,"
1537,永恒精灵,祭司,"elf girl, pointy ears, ethereal beauty, (pink hair:1.2), pink to rose gradient hair, long hair, messy hair, blunt bangs, feather accent, heart-shaped eyes, curvy build, huge breasts, ethereal light scheme, alluring nature priestess set, slit druidic robes, vine adornments, sacred totem, nature talismans, leaf crown, earth tones, natural jewelry, forest accessories, spiritual energy, seductive natural ornaments, ritual herbs, mysterious, praying, cathedral, starlight, peaceful, ethereal light scheme, looking_at_viewer, profile, foreshortening, aerial,"
1538,永恒精灵,元素使,"elf girl, pointy ears, ethereal beauty, (pink hair:1.2), pink to rose gradient hair, long hair, hair between eyes, asymmetric bangs, feather accent, red eyes, curvy build, huge breasts, arcane rainbow scheme, revealing wind mage robes, swirl patterns, cyan-white fabrics, wind orb, air crystals, feather ornaments, flowing cape, silver jewelry, wing accessories, tornado effects, sapphire pendant, storm accessories, swift aura, mysterious, meditating, magical nexus, magical light, powerful, arcane rainbow scheme, looking_up, upper_body, cinematic_angle, symmetric composition,"
1539,永恒精灵,精灵侍女,"elf girl, pointy ears, ethereal beauty, pink hair, long hair, ponytail, crossed bangs, silk bow, rainbow eyes, curvy build, huge breasts, elven grace scheme, seductive woodland attendant attire, nature-inspired robes, green and silver colors, service tools, elegant gloves, leaf accessories, natural jewelry, refined apron, graceful ornaments, forest motifs, alluring servant accessories, flower crown, elegant, standing, moonlit grove, moonlight, elegant, elven grace scheme, looking_afar, wide_shot, foreshortening, aerial,"
1540,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, hair between eyes, air bangs, jeweled hairpin, brown eyes, petite build, small breasts, dark crimson scheme, dark high priestess attire, unholy matriarch robes, corrupted blessing scepter, demon pact scrolls, forbidden ritual tools, dark deity symbols, infernal jewelry, cult leader ornaments, blasphemous accessories, evil sanctification implements, dark faith gems, corruption spread tools, cruel, standing dominantly, dungeon, torch light, oppressive, dark crimson scheme, head_tilt, full_shot, dutch angle, rule of thirds,"
1541,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, straight hair, centre parting bangs, feather accent, golden eyes, petite build, small breasts, dark revealing scheme, labor slave attire, work collar, minimal protection gear, mining chains, labor tools, work slave marks, exploitation symbols, toil accessories, forced labor jewelry, mining captive ornaments, servitude work tools, exhaustion marks, obedient, submissive pose, slave quarters, dim light, dark, dark revealing scheme, looking_outside, medium_shot, from_side, turn_one's_back,"
1542,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, hair between eyes, centre parting bangs, flower accessory, green eyes, petite build, small breasts, crimson-black scheme, blood pact witch attire, demon contract robes, infernal blood chalice, devil bargain tools, hellish blood accessories, demonic pact symbols, infernal jewelry, blood summoning implements, devil deal ornaments, hellfire blood gems, corruption contract tools, demon binding blood accessories, cruel, channeling, dark temple, dark light, ominous, crimson-black scheme, head_down, medium_shot, foreshortening, aerial,"
1543,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, swept bangs, jeweled hairpin, heart-shaped eyes, petite build, small breasts, witch-purple scheme, spirit medium witch outfit, ghost communication robes, séance whip, ectoplasm blades, spirit channeling tools, otherworld symbols, medium accessories, phantom jewelry, ghost binding implements, spirit world ornaments, afterlife connection tools, spectral magic gems, mysterious, whipping pose, cursed grove, moonlight, menacing, witch-purple scheme, head_down, full_shot, foreshortening, rule of thirds,"
1544,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, air bangs, delicate hair ornament, rainbow eyes, petite build, small breasts, rage crimson scheme, shadow berserker attire, dark rage armor, void-touched weapons, nightmare trophies, shadow frenzy symbols, dark fury jewelry, abyssal war paint, corruption ornaments, void battle scars, darkness rage accessories, shadow madness runes, abyss warrior tools, angry, charging, war camp, blood light, violent, rage crimson scheme, facing_away, full_shot, from_side, turn_one's_back,"
1545,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, bob cut, swept bangs, streaked hair, rainbow eyes, petite build, small breasts, assassin dark scheme, seductive shadowblade attire, exposing dark armor, dual daggers, assassination tools, stealth equipment, shadow magic accessories, silent boots, deadly ornaments, kill trophies, infiltration tools, provocative assassin ornaments, smoke vials, cold, sneaking, dark forest, shadow, deadly, assassin dark scheme, looking_afar, portrait, cinematic_angle, aerial,"
1546,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, straight hair, crossed bangs, tiara, red eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, soul harvester outfit, spirit capture robes, soul-drinking chalice, essence extraction tools, life force draining accessories, soul gem collection, spirit binding implements, dark reaper ornaments, mortality theft devices, essence prison jewelry, soul trade symbols, death dealer tools, commanding, commanding pose, dark cavern, purple glow, oppressive, obsidian-purple color scheme, looking_afar, profile, from_side, symmetric composition,"
1547,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, straight hair, air bangs, streaked hair, heart-shaped eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, labor slave attire, work collar, minimal protection gear, mining chains, labor tools, work slave marks, exploitation symbols, toil accessories, forced labor jewelry, mining captive ornaments, servitude work tools, exhaustion marks, obedient, submissive pose, slave quarters, dim light, oppressive, obsidian-purple color scheme, looking_to_the_side, full_shot, from_side, symmetric composition,"
1548,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, messy hair, air bangs, braid detail, rainbow eyes, athletic build, (medium breasts:1.2), blood-red color scheme, seductive hemomancer attire, exposing dark robes, blood orbs, ritual dagger, cursed tome, sacrifice tools, crimson chains, dark magic jewelry, blood runes, necromantic accessories, provocative forbidden ornaments, bone charms, cold, casting, ritual chamber, blood-red glow, dark, blood-red color scheme, looking_to_the_side, portrait, from_side, elegant composition,"
1549,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, hair between eyes, blunt bangs, delicate hair ornament, purple eyes, athletic build, (medium breasts:1.2), dark mystic scheme, alluring coven warrior outfit, revealing ritual armor, twin blades, spirit lash, dark magic focus, sisterhood symbols, combat accessories, witch jewelry, curse tools, battle ornaments, seductive cult ornaments, bonding runes, cold, combat stance, coven hideout, witch fire, mystical, dark mystic scheme, looking_away, panorama, foreshortening, symmetric composition,"
1550,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, hair between eyes, crossed bangs, jeweled hairpin, green eyes, athletic build, (medium breasts:1.2), blood-red color scheme, beast transformation gear, primal rage armor, bestial weapons, animal transformation symbols, wild fury accessories, feral shift jewelry, beast form war paint, savage mutation ornaments, animal rage scars, predator fury tools, beast soul runes, transformation berserker implements, wild, combat stance, battlefield, blood light, violent, blood-red color scheme, looking_ahead, profile, from_side, elegant composition,"
1551,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, forehead, long bangs, delicate hair ornament, heart-shaped eyes, athletic build, (medium breasts:1.2), obsidian scheme, revealing assassin outfit, form-fitting dark leather, hidden blades, poison vials, silent weapons, shadow accessories, stealth tools, deadly jewelry, kill marks, infiltration gear, alluring lethal ornaments, throwing knives, deadly, assassination pose, shadow realm, shadow, tense, obsidian scheme, looking_at_viewer, medium_shot, dutch angle, turn_one's_back,"
1552,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, forehead, blunt bangs, delicate hair ornament, blue eyes, curvy build, huge breasts, obsidian-purple color scheme, dark high priestess attire, unholy matriarch robes, corrupted blessing scepter, demon pact scrolls, forbidden ritual tools, dark deity symbols, infernal jewelry, cult leader ornaments, blasphemous accessories, evil sanctification implements, dark faith gems, corruption spread tools, commanding, standing dominantly, dungeon, purple glow, oppressive, obsidian-purple color scheme, facing_away, profile, from_below, aerial,"
1553,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, straight hair, long bangs, ribbon, purple eyes, curvy build, huge breasts, submissive scheme, alluring dark slave outfit, revealing bondage attire, heavy collar, connecting chains, submission tattoos, exposing leather, slave brands, restraint jewelry, servitude symbols, marking accessories, seductive captive ornaments, wrist shackles, submissive, submissive pose, dungeon, dim light, dark, submissive scheme, gradient, medium_shot, front view, symmetric composition,"
1554,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, bob cut, centre parting bangs, delicate hair ornament, purple eyes, curvy build, huge breasts, crimson-black scheme, alluring sacrificer outfit, revealing ceremonial robes, corrupted chalice, ritual blade, offering bowl, dark spell components, crimson jewelry, sacrifice symbols, curse accessories, blood magic tools, seductive dark ornaments, skull ornaments, focused, casting, blood altar, blood-red glow, ominous, crimson-black scheme, eyeball, wide_shot, cinematic_angle, symmetric composition,"
1555,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, straight hair, long bangs, flower accessory, red eyes, curvy build, huge breasts, obsidian-purple color scheme, spirit medium witch outfit, ghost communication robes, séance whip, ectoplasm blades, spirit channeling tools, otherworld symbols, medium accessories, phantom jewelry, ghost binding implements, spirit world ornaments, afterlife connection tools, spectral magic gems, fierce, casting, dark forest, witch fire, dark, obsidian-purple color scheme, eye-contact, full_shot, from_side, rule of thirds,"
1556,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, blonde hair, short hair, wavy hair, crossed bangs, streaked hair, golden eyes, curvy build, huge breasts, feral scheme, alluring bloodrage outfit, exposing combat gear, twin axes, skull accessories, battle trophies, frenzy symbols, savage jewelry, war paint, minimal armor, brutal ornaments, seductive berserker accessories, blood runes, angry, charging, arena, blood light, chaotic, feral scheme, looking_back, cowboy_shot, from_above, turn_one's_back,"
1557,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, crossed bangs, braid detail, pink eyes, curvy build, huge breasts, obsidian scheme, night hunter attire, darkness stalker robes, nocturnal blades, shadow tracking tools, night vision accessories, darkness camouflage gear, midnight jewelry, twilight hunting ornaments, night kill marks, shadow hunter symbols, darkness mastery runes, nocturnal predator tools, focused, shadow stance, shadow realm, shadow, deadly, obsidian scheme, looking_to_the_side, wide_shot, foreshortening, rule of thirds,"
1558,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, silver hair, short hair, wavy hair, ribbon, purple eyes, petite build, small breasts, dominance black-red scheme, revealing dominatrix attire, dark leather corset, commanding whip, slave chains, authority symbols, spiked accessories, power jewelry, dark cape, control collar, dominance tools, alluring mistress ornaments, slave brand, commanding, commanding pose, dark cavern, torch light, dark, dominance black-red scheme, looking_ahead, panorama, from_above, turn_one's_back,"
1559,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, straight hair, swept bangs, jeweled hairpin, purple eyes, petite build, small breasts, submissive scheme, labor slave attire, work collar, minimal protection gear, mining chains, labor tools, work slave marks, exploitation symbols, toil accessories, forced labor jewelry, mining captive ornaments, servitude work tools, exhaustion marks, obedient, serving pose, dungeon, torch light, oppressive, submissive scheme, looking_ahead, wide_shot, from_below, rule of thirds,"
1560,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, messy hair, asymmetric bangs, streaked hair, green eyes, petite build, small breasts, blood-red color scheme, revealing blood mage robes, crimson fabrics, blood chalice, ritual knife, sacrificial bowl, dark grimoire, blood jewelry, hemomancy symbols, curse accessories, dark power gems, alluring sinister ornaments, blood vials, cruel, channeling, dark temple, dark light, dark, blood-red color scheme, facing_away, profile, front view, rule of thirds,"
1561,黑暗精灵,巫灵姐妹,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, forehead, blunt bangs, ahoge, pink eyes, petite build, small breasts, witch-purple scheme, alluring coven warrior outfit, revealing ritual armor, twin blades, spirit lash, dark magic focus, sisterhood symbols, combat accessories, witch jewelry, curse tools, battle ornaments, seductive cult ornaments, bonding runes, cold, whipping pose, dark temple, purple glow, dark, witch-purple scheme, looking_away, panorama, dynamic_angle, elegant composition,"
1562,黑暗精灵,狂战士,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, ribbon, blue eyes, petite build, small breasts, rage crimson scheme, revealing berserker armor, exposing battle gear, massive axe, skull trophies, blood-stained weapons, feral accessories, rage symbols, minimal protection, battle scars, war paint, alluring savage ornaments, chain decorations, angry, battle cry, battlefield, battle fire, violent, rage crimson scheme, looking_away, wide_shot, cinematic_angle, aerial,"
1563,黑暗精灵,暗影刺客,"dark elf girl, pointy ears, brown skin, silver hair, short hair, wavy hair, swept bangs, ahoge, rainbow eyes, petite build, small breasts, obsidian scheme, night hunter attire, darkness stalker robes, nocturnal blades, shadow tracking tools, night vision accessories, darkness camouflage gear, midnight jewelry, twilight hunting ornaments, night kill marks, shadow hunter symbols, darkness mastery runes, nocturnal predator tools, cold, assassination pose, dark alley, shadow, dark, obsidian scheme, looking_up, wide_shot, dynamic_angle, aerial,"
1564,黑暗精灵,奴主,"dark elf girl, pointy ears, brown skin, silver hair, short hair, disheveled hair, long bangs, ahoge, brown eyes, athletic build, (medium breasts:1.2), dark crimson scheme, seductive overlord outfit, exposing dark armor, domination scourge, slave leash, power chains, cruel jewelry, authority badge, spiked bracers, dominance accessories, control symbols, provocative ruler ornaments, punishment tools, cruel, standing dominantly, dark cavern, purple glow, oppressive, dark crimson scheme, facing_away, cowboy_shot, dynamic_angle, elegant composition,"
1565,黑暗精灵,女奴,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, centre parting bangs, flower accessory, heart-shaped eyes, athletic build, (medium breasts:1.2), dark revealing scheme, gladiator slave outfit, arena collar, minimal combat gear, battle chains, fighter accessories, combat slave marks, entertainment warrior attire, crowd pleasing ornaments, battle entertainment jewelry, slave fighter symbols, arena captive tools, spectacle chains, fearful, submissive pose, slave quarters, dim light, oppressive, dark revealing scheme, looking_away, upper_body, dynamic_angle, elegant composition,"
1566,黑暗精灵,血法师,"dark elf girl, pointy ears, brown skin, (silver hair:1.2), silver to white gradient hair, short hair, bob cut, swept bangs, jeweled hairpin, purple eyes, athletic build, (medium breasts:1.2), hemomancy scheme, alluring sacrificer outfit, revealing ceremonial robes, corrupted chalice, ritual blade, offering bowl, dark spell components, crimson jewelry, sacrifice symbols, curse accessories, blood magic tools, seductive dark ornaments, skull ornaments, cold, casting, blood altar, blood-red glow, ominous, hemomancy scheme, looking_back, profile, from_side, elegant composition,"
